Date,Time,Crop Name,Temperature,Humidity,Soil Moisture,Light Intensity,Temperature_LIH,Humidity_LIH,Soil_Moisture_LIH,Light_Intensity_LIH,Advice
27/1/24,1:19:03,Potato,15.43,93.1,76.68,15728.52,Low,High,Ideal,High,Conditions are within the ideal range.
31/12/23,11:30:20,Sugarcane,20.04,60.46,38.32,26688.02,Low,Ideal,Low,Ideal,Increase irrigation frequency or use soil moisture-retention techniques.
11/3/24,4:50:20,Wheat,27.51,63.64,19.98,24591.26,High,High,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
28/7/24,21:27:06,Wheat,11.9,63.7,47.28,25741.26,Low,High,High,High,Conditions are within the ideal range.
19/2/24,12:12:11,Rice,39.62,95.64,80.73,8492.05,High,High,High,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
6/7/24,23:43:03,Sugarcane,39.65,57.14,33.54,25980.76,High,Low,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
7/10/23,21:36:57,Jute,40.44,88.77,44.63,53698.27,High,High,Ideal,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures.
19/9/24,13:55:36,Jute,23.57,53.25,57.04,37889.48,Low,Low,Ideal,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels.
25/5/24,12:23:51,Sugarcane,26.84,86.34,51.22,18128.86,Ideal,High,Ideal,Low,Adjust light exposure if possible or use supplementary lighting.
26/5/24,12:27:46,Wheat,25.55,54.17,30.97,14097.17,High,Ideal,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
1/4/24,17:34:22,Sugarcane,23.55,66.68,42.61,30908.13,Low,Ideal,Ideal,High,Conditions are within the ideal range.
10/5/24,12:15:02,Sugarcane,20.05,59.11,33.01,23478.16,Low,Low,Low,Ideal,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques.
3/10/23,9:20:15,Potato,16.9,90.1,75.03,9487.6,Low,High,Ideal,Ideal,Conditions are within the ideal range.
10/11/23,21:30:15,Potato,18.58,94.39,88.49,7138.96,Ideal,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
17/12/23,3:15:37,Rice,28.89,90.28,86.63,9699.43,Ideal,High,High,Low,Adjust light exposure if possible or use supplementary lighting.
31/8/24,12:35:51,Wheat,27.87,50.55,23.33,13240.51,High,Ideal,Ideal,Low,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Adjust light exposure if possible or use supplementary lighting.
14/5/24,2:18:15,Rice,36.13,73.87,52.08,19726.65,High,Ideal,Low,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
18/2/24,0:51:45,Rice,20.88,76.83,84.77,18253.2,Low,Ideal,High,Ideal,Conditions are within the ideal range.
7/2/24,4:21:39,Sugarcane,27.07,50.49,36.04,18031.69,Ideal,Low,Low,Low,Consider installing a misting system or using organic mulch to raise humidity levels. Increase irrigation frequency or use soil moisture-retention techniques. Adjust light exposure if possible or use supplementary lighting.
12/3/24,13:07:32,Sugarcane,39.82,86.09,33.74,32972.56,High,High,Low,High,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Increase irrigation frequency or use soil moisture-retention techniques.
19/1/24,23:46:53,Jute,41.14,51.32,60.7,46162.58,High,Low,High,Ideal,Implement shade nets or use reflective mulch to reduce soil and air temperatures. Consider installing a misting system or using organic mulch to raise humidity levels.
